STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
       3584;201104010000;201104012359;    3;  0.00;  -999;  -999;-999;eor
       3584;201104020000;201104022359;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030000;201104030059;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030100;201104030159;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030200;201104030259;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030300;201104030359;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030400;201104030459;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030500;201104030559;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030600;201104030659;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030700;201104030759;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030800;201104030859;    3;  0.00;  -999;  -999;-999;eor
       3584;201104030900;201104030959;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031000;201104031059;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031100;201104031159;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031200;201104031200;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031201;201104031201;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031202;201104031202;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031203;201104031203;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031204;201104031204;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031205;201104031205;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031206;201104031206;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031207;201104031207;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031208;201104031208;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031209;201104031209;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031210;201104031210;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031211;201104031211;    3;  0.04;  -999;  -999;-999;eor
       3584;201104031212;201104031212;    3;  0.01;  -999;  -999;-999;eor
       3584;201104031213;201104031213;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031214;201104031214;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031215;201104031215;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031216;201104031216;    3;  0.03;  -999;  -999;-999;eor
       3584;201104031217;201104031217;    3;  0.01;  -999;  -999;-999;eor
       3584;201104031218;201104031218;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031219;201104031219;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031220;201104031220;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031221;201104031221;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031222;201104031222;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031223;201104031223;    3;  0.04;  -999;  -999;-999;eor
       3584;201104031224;201104031224;    3;  0.02;  -999;  -999;-999;eor
       3584;201104031225;201104031225;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031226;201104031226;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031227;201104031227;    3;  0.04;  -999;  -999;-999;eor
       3584;201104031228;201104031228;    3;  0.01;  -999;  -999;-999;eor
       3584;201104031229;201104031229;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031230;201104031230;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031231;201104031231;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031232;201104031232;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031233;201104031233;    3;  0.03;  -999;  -999;-999;eor
       3584;201104031234;201104031234;    3;  0.01;  -999;  -999;-999;eor
       3584;201104031235;201104031235;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031236;201104031236;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031237;201104031237;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031238;201104031238;    3;  0.00;  -999;  -999;-999;eor
       3584;201104031239;201104031239;    3;  0.05;  -999;  -999;-999;eor
       3584;201104031240;201104031240;    3;  0.04;  -999;  -999;-999;eor
       3584;201104031241;201104031241;    3;  0.02;  -999;  -999;-999;eor
